conv1,layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer1.2.conv1,layer1.2.conv2,layer1.3.conv1,layer1.3.conv2,layer1.4.conv1,layer1.4.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer2.2.conv1,layer2.2.conv2,layer2.3.conv1,layer2.3.conv2,layer2.4.conv1,layer2.4.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer3.2.conv1,layer3.2.conv2,layer3.3.conv1,layer3.3.conv2,layer3.4.conv1,layer3.4.conv2,fc,epoch_num
0.0,0.125,0.125,0.125,0.0,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0,0.25,0.40625,0.21875,0.3125,0.25,0.34375,0.21875,0.28125,0.28125,0.015625,0.0,0.3125,0.15625,0.140625,0.125,0.328125,0.28125,0.3125,0.421875,0.265625,,51
0.0,0.125,0.1875,0.1875,0.125,0.1875,0.1875,0.3125,0.125,0.0625,0.25,0.0625,0.0,0.34375,0.375,0.3125,0.34375,0.40625,0.4375,0.46875,0.34375,0.28125,0.015625,0.0,0.296875,0.1875,0.15625,0.125,0.3125,0.296875,0.359375,0.328125,0.328125,,52
0.0,0.125,0.1875,0.1875,0.125,0.1875,0.1875,0.3125,0.125,0.0625,0.25,0.0625,0.0,0.34375,0.375,0.3125,0.34375,0.40625,0.4375,0.46875,0.34375,0.28125,0.015625,0.0,0.296875,0.1875,0.15625,0.125,0.3125,0.296875,0.359375,0.328125,0.328125,,53
0.0,0.125,0.1875,0.1875,0.125,0.1875,0.1875,0.3125,0.125,0.0625,0.25,0.0625,0.0,0.34375,0.375,0.3125,0.34375,0.40625,0.4375,0.46875,0.34375,0.28125,0.015625,0.0,0.296875,0.1875,0.15625,0.125,0.3125,0.296875,0.359375,0.328125,0.328125,,54
0.0,0.125,0.1875,0.1875,0.125,0.1875,0.1875,0.3125,0.125,0.0625,0.25,0.0625,0.0,0.34375,0.375,0.3125,0.34375,0.40625,0.4375,0.46875,0.34375,0.28125,0.015625,0.0,0.296875,0.1875,0.15625,0.125,0.3125,0.296875,0.359375,0.328125,0.328125,,55
0.0,0.1875,0.1875,0.1875,0.0625,0.1875,0.25,0.25,0.0625,0.0625,0.3125,0.0625,0.03125,0.28125,0.375,0.375,0.3125,0.375,0.40625,0.5,0.375,0.28125,0.015625,0.0,0.34375,0.171875,0.265625,0.125,0.34375,0.28125,0.453125,0.40625,0.296875,,56
0.0,0.1875,0.1875,0.1875,0.0625,0.1875,0.25,0.25,0.0625,0.0625,0.3125,0.0625,0.03125,0.28125,0.375,0.375,0.3125,0.375,0.40625,0.5,0.375,0.28125,0.015625,0.0,0.34375,0.171875,0.265625,0.125,0.34375,0.28125,0.453125,0.40625,0.296875,,57
0.0,0.1875,0.1875,0.1875,0.0625,0.1875,0.25,0.25,0.0625,0.0625,0.3125,0.0625,0.03125,0.28125,0.375,0.375,0.3125,0.375,0.40625,0.5,0.375,0.28125,0.015625,0.0,0.34375,0.171875,0.265625,0.125,0.34375,0.28125,0.453125,0.40625,0.296875,,58
0.0,0.1875,0.1875,0.1875,0.0625,0.1875,0.25,0.25,0.0625,0.0625,0.3125,0.0625,0.03125,0.28125,0.375,0.375,0.3125,0.375,0.40625,0.5,0.375,0.28125,0.015625,0.0,0.34375,0.171875,0.265625,0.125,0.34375,0.28125,0.453125,0.40625,0.296875,,59
0.0,0.1875,0.1875,0.1875,0.0625,0.1875,0.25,0.25,0.0625,0.0625,0.3125,0.0625,0.03125,0.28125,0.375,0.375,0.3125,0.375,0.40625,0.5,0.375,0.28125,0.015625,0.0,0.34375,0.171875,0.265625,0.125,0.34375,0.28125,0.453125,0.40625,0.296875,,60
0.0,0.1875,0.1875,0.1875,0.0625,0.1875,0.25,0.25,0.0625,0.0625,0.3125,0.0625,0.03125,0.28125,0.375,0.375,0.3125,0.375,0.40625,0.5,0.375,0.28125,0.015625,0.0,0.34375,0.171875,0.265625,0.125,0.34375,0.28125,0.453125,0.40625,0.296875,,61
0.0,0.1875,0.1875,0.25,0.1875,0.25,0.125,0.25,0.3125,0.0625,0.25,0.0625,0.0,0.4375,0.375,0.375,0.3125,0.5,0.46875,0.46875,0.40625,0.25,0.015625,0.0,0.421875,0.171875,0.265625,0.125,0.375,0.28125,0.4375,0.453125,0.328125,,62
0.0,0.1875,0.1875,0.25,0.1875,0.25,0.125,0.25,0.3125,0.0625,0.25,0.0625,0.0,0.4375,0.375,0.375,0.3125,0.5,0.46875,0.46875,0.40625,0.25,0.015625,0.0,0.421875,0.171875,0.265625,0.125,0.375,0.28125,0.4375,0.453125,0.328125,,63
0.0,0.1875,0.1875,0.25,0.1875,0.25,0.125,0.25,0.3125,0.0625,0.25,0.0625,0.0,0.4375,0.375,0.375,0.3125,0.5,0.46875,0.46875,0.40625,0.25,0.015625,0.0,0.421875,0.171875,0.265625,0.125,0.375,0.28125,0.4375,0.453125,0.328125,,64
0.0,0.1875,0.1875,0.25,0.1875,0.25,0.125,0.25,0.3125,0.0625,0.25,0.0625,0.0,0.4375,0.375,0.375,0.3125,0.5,0.46875,0.46875,0.40625,0.25,0.015625,0.0,0.421875,0.171875,0.265625,0.125,0.375,0.28125,0.4375,0.453125,0.328125,,65
0.0,0.1875,0.1875,0.25,0.1875,0.25,0.125,0.25,0.3125,0.0625,0.25,0.0625,0.0,0.4375,0.375,0.375,0.3125,0.5,0.46875,0.46875,0.40625,0.25,0.015625,0.0,0.421875,0.171875,0.265625,0.125,0.375,0.28125,0.4375,0.453125,0.328125,,66
0.0,0.1875,0.1875,0.25,0.375,0.25,0.3125,0.25,0.4375,0.0625,0.25,0.0625,0.03125,0.46875,0.375,0.34375,0.34375,0.5,0.5,0.5625,0.34375,0.40625,0.015625,0.0,0.5,0.1875,0.3125,0.125,0.328125,0.328125,0.4375,0.4375,0.328125,,67
0.0,0.1875,0.1875,0.25,0.375,0.25,0.3125,0.25,0.4375,0.0625,0.25,0.0625,0.03125,0.46875,0.375,0.34375,0.34375,0.5,0.5,0.5625,0.34375,0.40625,0.015625,0.0,0.5,0.1875,0.3125,0.125,0.328125,0.328125,0.4375,0.4375,0.328125,,68
0.0,0.1875,0.1875,0.25,0.375,0.25,0.3125,0.25,0.4375,0.0625,0.25,0.0625,0.03125,0.46875,0.375,0.34375,0.34375,0.5,0.5,0.5625,0.34375,0.40625,0.015625,0.0,0.5,0.1875,0.3125,0.125,0.328125,0.328125,0.4375,0.4375,0.328125,,69
0.0,0.1875,0.1875,0.25,0.375,0.25,0.3125,0.25,0.4375,0.0625,0.25,0.0625,0.03125,0.46875,0.375,0.34375,0.34375,0.5,0.5,0.5625,0.34375,0.40625,0.015625,0.0,0.5,0.1875,0.3125,0.125,0.328125,0.328125,0.4375,0.4375,0.328125,,70
0.0,0.1875,0.1875,0.25,0.375,0.25,0.3125,0.25,0.4375,0.0625,0.25,0.0625,0.03125,0.46875,0.375,0.34375,0.34375,0.5,0.5,0.5625,0.34375,0.40625,0.015625,0.0,0.5,0.1875,0.3125,0.125,0.328125,0.328125,0.4375,0.4375,0.328125,,71
0.0,0.1875,0.1875,0.25,0.375,0.25,0.3125,0.25,0.4375,0.0625,0.25,0.0625,0.03125,0.46875,0.375,0.34375,0.34375,0.5,0.5,0.5625,0.34375,0.40625,0.015625,0.0,0.5,0.1875,0.3125,0.125,0.328125,0.328125,0.4375,0.4375,0.328125,,72
0.0,0.1875,0.1875,0.25,0.375,0.25,0.4375,0.3125,0.4375,0.0625,0.375,0.0625,0.03125,0.4375,0.40625,0.375,0.40625,0.46875,0.40625,0.5625,0.34375,0.40625,0.015625,0.0,0.453125,0.171875,0.328125,0.125,0.484375,0.296875,0.5,0.515625,0.3125,,73
0.0,0.1875,0.1875,0.25,0.375,0.25,0.4375,0.3125,0.4375,0.0625,0.375,0.0625,0.03125,0.4375,0.40625,0.375,0.40625,0.46875,0.40625,0.5625,0.34375,0.40625,0.015625,0.0,0.453125,0.171875,0.328125,0.125,0.484375,0.296875,0.5,0.515625,0.3125,,74
